company_id,transaction_date,account_id,transaction_name,amount
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-222.8"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-889.6"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2182.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-225.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1554"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1990.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-91.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2158.92"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1355.53"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-8988"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-3121.63"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-160"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2885.4"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-677.28"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1064.88"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2182.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2885.4"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1554"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-105.83"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-160"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-3125.25"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1695.74"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-3121.63"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-222.8"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-8988"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1355.53"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2158.92"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-91.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1990.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-225.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-222.8"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-889.6"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1695.74"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1064.88"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-225.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-3125.25"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-677.28"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1990.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2885.4"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-91.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-160"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-2158.92"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-3121.63"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1355.53"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-8988"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-8988"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1355.53"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-1990.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-225.44"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-91.65"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-889.6"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","12000","Inventory","-222.8"
