voucher,vendor_id,vendor_name,invoice_num,terms_code,created_date,created_amount,event_type,event_date,event_amount,running_open_after_event,source_program,source_item_id
13633,9135801,"C.H Robinson International, Inc.",6188509649,,2023-09-28,5403.90,V,2023-09-28,5403.90,5403.90,,
13633,9135801,"C.H Robinson International, Inc.",6188509649,,2023-09-28,5403.90,P,2023-10-20,-5403.90,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[2c55a842-3f50-4c4f-a1af-973dd11a5b0b] aptrxp.DT=[2023-10-20 12:18:19.680]
13679,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230054-TOOL,N90,2023-09-28,6347.70,V,2023-09-28,6347.70,6347.70,,
13680,1850001,"Anhui TongFeng Electronics Co., Ltd.",TF-230621S,N80,2023-09-29,259.61,V,2023-09-29,259.61,259.61,,
13635,9881301,UPS,00001533W5393,,2023-09-30,42.00,V,2023-09-30,42.00,42.00,,
13656,9342902,John Hancock USA - 401K,20230930-A139097-JHFE-,,2023-09-30,3838.47,V,2023-09-30,3838.47,3838.47,,
13712,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230033-TOOL,N90,2023-09-30,4102.37,V,2023-09-30,4102.37,4102.37,,
13636,9437401,Its Water Time LLC,35476680,,2023-10-01,18.95,V,2023-10-01,18.95,18.95,,
13637,9904001,"Virginia Sentinel, Inc.",62424,,2023-10-01,189.00,V,2023-10-01,189.00,189.00,,
13637,9904001,"Virginia Sentinel, Inc.",62424,,2023-10-01,189.00,P,2023-10-20,-189.00,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[48aa42a1-d9d4-4531-959c-12e4427c290a] aptrxp.DT=[2023-10-20 12:55:43.903]
13638,9904001,"Virginia Sentinel, Inc.",62425,,2023-10-01,96.00,V,2023-10-01,96.00,96.00,,
13641,9806501,Spencer Paxton,10012023,,2023-10-01,90.00,V,2023-10-01,90.00,90.00,,
13643,9436201,ITG - Integrated Technology Group,30359,,2023-10-01,4766.54,V,2023-10-01,4766.54,4766.54,,
13660,9282501,Financial Designs Business Advisors,20952,,2023-10-01,1250.00,V,2023-10-01,1250.00,1250.00,,
