cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance
1822501,"",202304319,2023-12-13,2024-02-11,USD,36388.80,0.00,36388.80
1738501,"",202303993,2023-11-27,2024-02-25,USD,36001.14,0.00,36001.14
1738501,"",202303091,2023-09-15,2023-12-14,USD,36001.14,0.00,36001.14
1319905,"",202304508,2023-12-21,2024-01-05,USD,35447.37,0.00,35447.37
1319905,"",202304383,2023-12-15,2023-12-30,USD,35447.37,0.00,35447.37
1319905,"",202304352,2023-12-14,2023-12-29,USD,35447.37,0.00,35447.37
1319905,"",202304278,2023-12-11,2023-12-26,USD,35447.37,0.00,35447.37
1319905,"",202304241,2023-12-08,2023-12-23,USD,35447.37,0.00,35447.37
1034704,"",202304171,2023-12-06,2024-02-19,USD,35419.65,0.00,35419.65
1577106,"",202303237,2023-09-26,2023-12-25,USD,34797.00,0.00,34797.00
1456501,"",202304189,2023-12-07,2024-03-06,USD,34625.64,0.00,34625.64
1577102,"",202303659,2023-10-30,2024-01-28,USD,34401.78,0.00,34401.78
1975001,"",202304473,2023-12-20,2024-03-19,USD,33633.60,0.00,33633.60
1975001,"",202303694,2023-11-01,2024-01-30,USD,33633.60,0.00,33633.60
1975001,"",202303216,2023-09-25,2023-12-24,USD,33633.60,0.00,33633.60
1319903,"",202304254,2023-12-11,2023-12-26,USD,33045.60,0.00,33045.60
1275201,"",202303934,2023-11-21,2024-02-19,USD,32718.00,0.00,32718.00
1034704,"",202303827,2023-11-08,2024-01-22,USD,31877.79,0.00,31877.79
1034704,"",202303611,2023-10-25,2024-01-08,USD,31877.79,0.00,31877.79
1319905,"",202304208,2023-12-07,2023-12-22,USD,31139.22,0.00,31139.22
1319905,"",202304207,2023-12-07,2023-12-22,USD,30954.63,0.00,30954.63
1275203,"",202302866,2023-08-28,2023-11-26,USD,30328.00,0.00,30328.00
1275203,"",202304397,2023-12-18,2024-03-17,USD,29559.60,0.00,29559.60
1275203,"",202303654,2023-10-30,2024-01-28,USD,29559.60,0.00,29559.60
1275203,"",202303291,2023-10-02,2023-12-31,USD,29559.60,0.00,29559.60
1275203,"",202303984,2023-11-27,2024-02-25,USD,29559.60,0.00,29559.60
1928301,"",202304512,2023-12-22,2024-02-20,USD,29451.45,0.00,29451.45
1275203,"",202302799,2023-08-21,2023-11-19,USD,29184.00,0.00,29184.00
1275203,"",202304293,2023-12-12,2024-03-11,USD,29148.00,0.00,29148.00
1577106,"",202303336,2023-10-03,2024-01-01,USD,29147.16,0.00,29147.16
1129701,"",202304324,2023-12-13,2024-02-11,USD,29064.00,0.00,29064.00
1052001,"",202304408,2023-12-18,2024-01-17,USD,28980.00,0.00,28980.00
1319905,"",202304214,2023-12-07,2023-12-22,USD,28778.40,0.00,28778.40
1839204,"",202304472,2023-12-20,2024-02-18,USD,28442.40,0.00,28442.40
1283301,"",202304110,2023-12-04,2024-01-03,USD,28261.80,0.00,28261.80
1319905,"",202304336,2023-12-14,2023-12-29,USD,28022.40,0.00,28022.40
1577118,"",202303932,2023-11-21,2024-02-19,USD,27904.80,0.00,27904.80
1520801,"",202304173,2023-12-06,2024-02-19,USD,27661.20,0.00,27661.20
1319904,"",202304226,2023-12-08,2024-01-07,USD,27008.94,0.00,27008.94
1319905,"",202304211,2023-12-07,2023-12-22,USD,27008.94,0.00,27008.94
1456501,"",202303919,2023-11-20,2024-02-18,USD,26922.00,0.00,26922.00
1456501,"",202303562,2023-10-23,2024-01-21,USD,26922.00,0.00,26922.00
1719501,"",202304080,2023-12-01,2023-12-31,USD,26880.00,0.00,26880.00
1456501,"",202304401,2023-12-18,2024-03-17,USD,26636.40,0.00,26636.40
1456501,"",202304115,2023-12-04,2024-03-03,USD,26636.40,0.00,26636.40
1456501,"",202303168,2023-09-20,2023-12-19,USD,26636.40,0.00,26636.40
1577102,"",202303972,2023-11-22,2024-02-20,USD,26489.40,0.00,26489.40
1319905,"",202304196,2023-12-07,2023-12-22,USD,26401.20,0.00,26401.20
1456501,"",202303871,2023-11-15,2024-02-13,USD,25792.20,0.00,25792.20
1456501,"",202303870,2023-11-15,2024-02-13,USD,25792.20,0.00,25792.20
1456501,"",202303423,2023-10-09,2024-01-07,USD,25792.20,0.00,25792.20
1456501,"",202303294,2023-10-02,2023-12-31,USD,25792.20,0.00,25792.20
1456501,"",202303212,2023-09-25,2023-12-24,USD,25792.20,0.00,25792.20
1456501,"",202303114,2023-09-18,2023-12-17,USD,25792.20,0.00,25792.20
1456501,"",202303039,2023-09-11,2023-12-10,USD,25792.20,0.00,25792.20
1275203,"",202303596,2023-10-24,2024-01-22,USD,25741.80,0.00,25741.80
1275203,"",202303290,2023-10-02,2023-12-31,USD,25741.80,0.00,25741.80
1577106,"",202304290,2023-12-12,2024-03-11,USD,25615.80,0.00,25615.80
1577118,"",202303239,2023-09-26,2023-12-25,USD,25615.80,0.00,25615.80
1577106,"",202303238,2023-09-26,2023-12-25,USD,25615.80,0.00,25615.80
1319905,"",202304426,2023-12-18,2024-01-02,USD,25609.29,0.00,25609.29
1319905,"",202304354,2023-12-14,2023-12-29,USD,25609.29,0.00,25609.29
1577102,"",202303556,2023-10-23,2024-01-21,USD,25388.16,0.00,25388.16
1549801,"",202302991,2023-09-01,2023-10-31,USD,31350.76,6300.36,25050.40
1577106,"",202304287,2023-12-12,2024-03-11,USD,25048.80,0.00,25048.80
1577118,"",202303930,2023-11-21,2024-02-19,USD,25048.80,0.00,25048.80
1577106,"",202303924,2023-11-21,2024-02-19,USD,25048.80,0.00,25048.80
1577106,"",202303235,2023-09-26,2023-12-25,USD,25048.80,0.00,25048.80
1034704,"",202304038,2023-11-29,2024-02-12,USD,24793.86,0.00,24793.86
1577102,"",202304122,2023-12-04,2024-03-03,USD,24410.40,0.00,24410.40
1577102,"",202303912,2023-11-20,2024-02-18,USD,24410.40,0.00,24410.40
1577102,"",202303742,2023-11-03,2024-02-01,USD,24410.40,0.00,24410.40
1577102,"",202303299,2023-10-02,2023-12-31,USD,24410.40,0.00,24410.40
