cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance,events
1577106,"",202303591,20231024 00:00:00.000,20240122 00:00:00.000,USD,1793.80,0.00,1793.80,1
1577118,"",202303240,20230926 00:00:00.000,20231225 00:00:00.000,USD,1789.20,0.00,1789.20,1
1577106,"",202303803,20231107 00:00:00.000,20240205 00:00:00.000,USD,1789.20,0.00,1789.20,1
1577106,"",202304435,20231219 00:00:00.000,20240318 00:00:00.000,USD,1789.20,0.00,1789.20,1
1275203,"",202302800,20230821 00:00:00.000,20231119 00:00:00.000,USD,1784.00,0.00,1784.00,1
1275203,"",202302866,20230828 00:00:00.000,20231126 00:00:00.000,USD,1784.00,0.00,1784.00,1
1275203,"",202303119,20230918 00:00:00.000,20231217 00:00:00.000,USD,1784.00,0.00,1784.00,1
1275203,"",202303419,20231009 00:00:00.000,20240107 00:00:00.000,USD,1784.00,0.00,1784.00,1
1275203,"",202303555,20231023 00:00:00.000,20240121 00:00:00.000,USD,1784.00,0.00,1784.00,1
1275203,"",202303778,20231106 00:00:00.000,20240204 00:00:00.000,USD,1784.00,0.00,1784.00,1
1275203,"",202303917,20231120 00:00:00.000,20240218 00:00:00.000,USD,1784.00,0.00,1784.00,1
1275203,"",202304388,20231218 00:00:00.000,20240317 00:00:00.000,USD,1784.00,0.00,1784.00,1
1275203,"",202304395,20231218 00:00:00.000,20240317 00:00:00.000,USD,1784.00,0.00,1784.00,1
1822501,"",202303512,20231016 00:00:00.000,20231215 00:00:00.000,USD,1781.34,0.00,1781.34,1
1520801,"",202304039,20231129 00:00:00.000,20240212 00:00:00.000,USD,1736.32,0.00,1736.32,1
1820701,"",202303890,20231117 00:00:00.000,20240101 00:00:00.000,USD,1736.00,0.00,1736.00,1
1822501,"",202304319,20231213 00:00:00.000,20240211 00:00:00.000,USD,1732.80,0.00,1732.80,1
1738501,"",202303091,20230915 00:00:00.000,20231214 00:00:00.000,USD,1714.34,0.00,1714.34,1
1738501,"",202303993,20231127 00:00:00.000,20240225 00:00:00.000,USD,1714.34,0.00,1714.34,1
1319905,"",202304241,20231208 00:00:00.000,20231223 00:00:00.000,USD,1687.97,0.00,1687.97,1
1319905,"",202304278,20231211 00:00:00.000,20231226 00:00:00.000,USD,1687.97,0.00,1687.97,1
1319905,"",202304352,20231214 00:00:00.000,20231229 00:00:00.000,USD,1687.97,0.00,1687.97,1
